Component Name,Type,Risk Level,Risk Score,Criticality Index,Instability,Coupling Pressure
/data/marcel-master/class/ansi.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/api.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/app.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/ascii.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/audio.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/auth.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/blocklist.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/browser.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/cache.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/captcha.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/cli_helper.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/clicolor.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/code.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/color.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/config.php,config,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/cookie.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/craigslist.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/credit.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/crypt.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/css.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/csv.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/db.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/detect.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/diff.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/dom.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/event.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/fake.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/field.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/flickr.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/form.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/git.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/gmap.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/goodreads.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/helper.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/html.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/image.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/js.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/linode.php,file,LOW,0.0,0.0,0.0,0.0
/data/marcel-master/class/mail.php,file,LOW,0.0,0.0,0.0,0.0
